,Date,User,Tweet
27,2019-05-18 19:27:54+00:00,sheikh541,"#BJP was renamed as Safroon Party then again it was named as Modi Party.

could any body guess what will be next name of the party...

@asadowaisi @warispathan @syedasimwaqar @aimim_national @shaukat_aimim 
#ModiHaiTohGodseHai #ModiInKedarnath #KejriwalAssassinationClaim"
28,2019-05-18 19:18:47+00:00,SKeeranagi,@YashwantSinha Sir you should be asking people to not elect #Modi as he is a cult and a #ConMan i personal don't respect #BJP but you are a true leader.
29,2019-05-18 19:16:28+00:00,pintoo2060,"@IamIconoclast @Election_in Agree with your #Punjab analysis
But my prediction about #Chandigarh is that #BJP #kironkher will win  #Elections2019"
30,2019-05-18 19:12:21+00:00,AV_DESH_PREMI,"#BJP WIN (313) #NDA 380
#Congress Win 57 
#Other 103
#23rdmay #ArnabOnMay23 
#ABP #ZeeNewsGold #aajtak @ZeeNewsHindi @Republic_Bharat @aajtak @abpnewshindi @news24tvchannel @sardanarohit @News18India @indiatvnews"
31,2019-05-18 19:09:30+00:00,Mdsr20351488,"All Pakistanis had serious doubts on concept of TwoNationTheory, they always hold grudge 4 amount of losses suffered during partition

But now they like Modi alot 4 clarifying TNT in best possible way

@kunalkamra88
@BDUTT @TheQuint 
@dhruv_rathee @AltNews
#LokSabhaElections2019"
32,2019-05-18 19:04:19+00:00,MSingh_16,"Defying the sanctity of Prime Minister Offices this Man chooses to Meditate In cave. 
#modi #bjp"
33,2019-05-18 18:57:29+00:00,sumeetktri,If at all #BJP does not come to power then the first casualty will be #ElectionCommission.
34,2019-05-18 18:56:52+00:00,drnitinchaube,"Congrats for the change #australiavotes2019 and #ScottMorrison sir!

Is the same wind of change going to bring in #Congress or #UPA3Coming #LokSabhaElections2019 along with #Rahul @INCIndia @RahulGandhi @DickDarryl @rkhuria @kukk44 @MahilaCongress"
35,2019-05-18 18:56:33+00:00,imbobby07,"@Saurabh53011651 @SushmaSwaraj Change your statement bro.
The one of the honest leader in #bjp

This is not #corruptCongress"
36,2019-05-18 18:54:01+00:00,mrvivek07,"Peopel Say “Govt Ne 70 Years Kya kiya”.
Unse pucho “70 years Govt kaise Rahi.!??
#KaamBoltaHain..#IndianElections2019 #Congress #Bjp @INCIndia @BJP4India @Election2019NG @aajtak @NavbharatTimes @ZeeNews @timesofindia @htTweets @RahulGandhi"
37,2019-05-18 18:52:22+00:00,MsNaughtySweet,"@VisitorA8Planet @Malkhan56167299 @ANI 23 May BJP gayi ...

#BJP_भगाओ_देश_बचाओ #BJPSupportsTerrorists #LokSabhaElections2019"
38,2019-05-18 18:52:18+00:00,gautamsingh93,"@ShekharGupta Sir, plzz stock up some packs of #burnol .... This will hurt you another 5 years....#Elections2019 #LokSabhaElections2019 #Modi"
39,2019-05-18 18:52:03+00:00,JosephPravinP,"@ajaymaken @RahulGandhi And as a final touch, #Modi ji proved this world that not Rahul but he is the real #Pappu thereby making @RahulGandhi the perfect fit for the future!

Thank you Modi ji 😅
#BJP #Congress #RahulGandhi #Elections2019"
40,2019-05-18 18:50:55+00:00,TheSaptarshiRay,"I think before casting the vote for  last phase  today People should finalize whom they want to see  as next PM
Rahul,Mamata,Akhilesh,Mayavati,Chandrababu,KCR,Devegowda,Modi and then cast vote wisely #LokSabhaElections2019 #majbootsarkar"
41,2019-05-18 18:50:44+00:00,AshokeRattan,Trying to forge opposition will be a futile exercise. Imagine #INC could not get support of 11 MPs to be entitled to have legal Leader of Opposition. It’s benevolence of @narendramodi that gave position to a thankless @MallikarjunKharge in charity
42,2019-05-18 18:44:52+00:00,_OfficialShafi,"@TelanganaCMO After a 12th anniversary of #MeccaMasjidBlast Still the accused persons, roaming 100's of peoples were injured and 11 peoples were lost their lives 5 to 6 in police firing. The time of #INC period to #TRS period @trspartyonline Should take N/A on culprits."
43,2019-05-18 18:39:19+00:00,Bhodhidharma,Indians should maintain pin drip silence. Our great leader is in deep meditation. #ModiInKedarnath #BJP #Modi
44,2019-05-18 18:37:02+00:00,kartickmisraa,@abhi_jjeet If the country gives 2/3rd majority to #BJP &amp; its allies in both the houses it can be removed by amendment of the Constitution.
45,2019-05-18 18:31:10+00:00,VandanaMegastar,#LokSabhaElections2019 Anyone not having mass backing can't be a visionary politician. Such netas are destined to work for lobbies. Difference between Rahul &amp; Modi is that Modi has a cow and Rahul doesn't have. Rahul can't hide behind a cow. He will deliver or will have to go....
46,2019-05-18 18:24:13+00:00,vivekuksood,"Aaj #KedarNath kal Badrinath. Lagta hai #Modi ji ne jhola uthha hi lia hai.

Happy journey Gobhi ji. #BJP would be  certainly taking a breath of relief.

Margdarshak Mandal to ModiJhola Mandal.

 #AbHogaNYAY #jayegatohmodihi"
47,2019-05-18 18:21:42+00:00,Iqbal_Hussains,"#ElectionCommission #LokSabhaElections2019 PM's meditation before the camera at kedarnath is a clear MCC violation, as modi is blue-eyed boy for EC no action expected,this body shows they aren't able to conduct even panchayat elections.@SyedAzhars @BDUTT @mohtasim_malik @KSaifi"
48,2019-05-18 18:20:48+00:00,RGspeak,@INCIndia should release a video of @RahulGandhi visiting Kedarnath shrine and that of Modi immediately.... it would be a study in contrast &amp; important for everyone to comprehend.... #KedarnathTemple #Kedarnath #RahulGandhi
49,2019-05-18 18:15:03+00:00,sushrut_oza,"So Here's What I Think Would Be The Numbers In #LokSabhaElections2019 
BJP-250-260
NDA-295-305
Cong-65
Others-180
#Elections2019results #Elections2019results"
50,2019-05-18 18:13:34+00:00,keyurhere,"May lord #Kedarnath give you the strength (not streanh) to answer questions at press conferences.

#KedarnathTemple #ModiInKedarnath #Modi #NarendraModi #PressConference"
51,2019-05-18 18:09:36+00:00,ChanakyaSays,#LokSabhaElections2019 The level of violence seen in Bengal during voting is phenomenal. Had it happened in BJP ruled state all media and sikulars would have shouted from rooftop that Constitution is in ICU. But for the shameless media and the 9 thug party is quiet...Why?
52,2019-05-18 18:07:14+00:00,CaptAKJ,"@TOIIndiaNews #Congress must take action sooner. He may prove to b worse than Sam.
बुड्ढा सठिया गया..
#LokSabhaElections2019 #Kedarnath #Modi"
53,2019-05-18 18:06:30+00:00,coolgolu1993,#MamataBanerjee countdown start for 23 June your hitter democracy will destroy by #bjp by getting 23+seat
54,2019-05-18 18:05:18+00:00,nirajkushwa,"@KajalChauhan_ @dashingassu Our PM ( Modi ji) will take serious decision, if it's true.#NarendraModi #cmyogi"
55,2019-05-18 18:02:17+00:00,kkpmabhi,"Mamta Banerjee is a Brahmin.
I wasn't Aware of this. As per the Bhakts Logic
#Bjp is Anti-Brahmin."
56,2019-05-18 18:02:12+00:00,anoopsi63399581,"#Muslimsisters think before voting Menace of #Tripletalak &amp; your rights protected by #BJP govt &amp; more such steps in future for your better &amp; secure future &amp; make sure to bring back #BJP in power again. 
#AbkiBaar300Paar #LokSabhaElections2019"
57,2019-05-18 18:00:10+00:00,ineomaki,"RT IndiaToday: #LokSabhaElections2019: 
BJP is contesting across the country, but only Bengal is witnessing violence which means TMC is re…2019-05-18T14:53:11.000Z"
58,2019-05-18 17:57:36+00:00,bhagat_9495,"Howmany Seats will BJP win ?

#LokSabhaElections2019 

@narendramodi 
@AmitShah 
@theskindoctor13 
@bhak_sala 
@ChitranshPathk 
@malharbhatt001"
59,2019-05-18 17:57:33+00:00,neilcp,@dhruv_rathee So #NarendraModi  must now change his name to Narendra Maun'di...
60,2019-05-18 17:54:56+00:00,sarathboggarapu,"@DishTV_India @TRAI VC01525048705 good working setup box, sudently stopped to generate video output. CC said needs to replace the set-top box, why the customer needs to pay 770 for it?That is almost half of new connection amount?

#Cheating #Dishtv 
#Hiddengames
#Bjp #JioFiberNet"
61,2019-05-18 17:54:16+00:00,iamsuryakant_,@sonakshisinha @ShatruganSinha No guys...Vote for #BJP..
